id_solicitud;fecha_solicitud;oficina;segmento;producto;ingreso_mensual;obligaciones_actuales;score;antiguedad_meses;tiene_mora;monto_solicitado;tasa_ea;plazo_meses;canal
SOL-2026-0001;2026-05-26;Jamundí;pensionado;Libranza;8400000,0;1780000;746,0;34;No;44000000;0,20788252797025078;30;Oficina
SOL-2026-0002;2025-07-28;Jamundí;Microempresario;Libranza;2250000,0;500000;697,0;54;Sí;36700000;0,1354627756363278;24;Oficina
SOL-2026-0003;2025-04-17;Cali Centro;Microempresario;Libranza;4400000,0;330000;672,0;28;No;49400000;0,1886779366037648;12;Digital
SOL-2026-0004;2025-07-06;Cali Centro;Microempresario;Microcredito;8250000,0;2580000;;50;No;19100000;0,36623688803567267;30;Digital
SOL-2026-0005;2026-05-05;Buga;Independiente;Libre inversion;5650000,0;600000;589,0;76;No;20700000;0,19784247794701448;48;Oficina
SOL-2026-0006;2025-04-20;Buenaventura;Pensionado;Libre inversion;5000000,0;1390000;627,0;32;No;32700000;0,2640796134319731;24;Oficina
SOL-2026-0007;2025-03-30;Tuluá;Independiente;Libre inversion;4250000,0;1280000;729,0;76;Sí;23300000;0,19592685355422257;36;Oficina
SOL-2026-0008;2025-09-15;Buenaventura;Independiente;Libre inversion;5850000,0;1350000;661,0;52;No;33900000;26,0;24;Aliado
SOL-2026-0009;2026-05-19;JAMUNDÍ;Independiente;Libre inversion;5450000,0;900000;795,0;59;Sí;36600000;0,2339650888940209;36;Oficina
SOL-2026-0010;2025-11-09;Buga;Microempresario;Vehiculo;;350000;657,0;81;No;8300000;0,20237457888788196;48;Aliado
SOL-2026-0011;2025-10-21;Palmira;asalariado;Microcredito;7150000,0;2000000;708,0;41;No;27000000;0,3629716405907885;12;Aliado
SOL-2026-0012;2025-08-04;Jamundí;Asalariado;Libre inversion;4300000,0;1080000;630,0;16;No;N/D;0,25102606552139767;30;Oficina
SOL-2026-0013;2025-05-07; Palmira;Independiente;Vehiculo;4050000,0;950000;810,0;37;No;26100000;0,15988794146150198;60;Aliado
SOL-2026-0014;2025-02-23;Buenaventura;Independiente;Libre inversion;3350000,0;730000;776,0;80;No;51000000;0,2481302805847557;12;Digital
SOL-2026-0015;2025-01-26;Palmira;Independiente;Libranza;2750000,0;420000;685,0;40;Sí;47200000;0,1595835983816767;30;Aliado
SOL-2026-0016;2025-02-07;Buenaventura;;Libre inversion;2850000,0;360000;670,0;73;Sí;45300000;0,22955134344742645;12;Oficina
SOL-2026-0017;2025-04-15;Buga;Microempresario;Vehiculo;1750000,0;260000;829,0;32;No;9900000;0,14831999879745472;48;Aliado
SOL-2026-0018;2025-04-22;TULUÁ;Microempresario;Microcredito;6550000,0;550000;617,0;65;No;16600000;0,3112015781075982;6;Aliado
SOL-2026-0019;2025-09-14;Buenaventura;Asalariado;Libranza;4550000,0;1560000;693,0;49;No;5800000;0,1760644184499301;24;Oficina
SOL-2026-0020;2026-05-31;Cali Centro;Independiente;Libranza;4150000,0;400000;655,0;10;No;46900000;0,17275880184583253;30;Aliado
SOL-2026-0021;2025-03-13;Buga;Independiente;Vehiculo;4600000,0;1580000;682,0;54;Sí;6700000;0,18296013436467445;60;Digital
SOL-2026-0022;2025-01-25;Cali Sur;Asalariado;Libre inversion;5050000,0;290000;747,0;75;No;51000000;0,22615614165546627;30;Oficina
SOL-2026-0023;2025-04-22;Buga;Microempresario;Libranza;4500000,0;1160000;730,0;48;No;18600000;0,1526847041288953;30;Oficina
SOL-2026-0024;2025-02-19;Buenaventura;Independiente;Libranza;3100000,0;-512473;642,0;54;No;34000000;0,1980303651793905;36;Aliado
SOL-2026-0025;2025-01-09;Jamundí;Pensionado;Libranza;5100000,0;1000000;631,0;48;No;14100000;0,19392823766847403;18;Oficina
SOL-2026-0026;2026-02-08;Jamundí;Independiente;Libre inversion;4600000,0;230000;723,0;55;No;9300000;0,26044911576813834;30;Oficina
SOL-2026-0027;2025-03-22; Palmira;Asalariado;Libranza;4900000,0;1010000;606,0;33;No;8300000;0,20077199858210687;24;Aliado
SOL-2026-0028;2025-09-11;Cali Sur;Microempresario;Libre inversion;5300000,0;840000;736,0;53;No;20200000;0,2335676964260178;48;Digital
SOL-2026-0029;2026-01-10;Cali Centro;Independiente;Vehiculo;9800000,0;920000;648,0;74;Sí;33300000;0,21534125238288276;48;Oficina
SOL-2026-0030;2025-03-24;Buenaventura;Pensionado;Libre inversion;4850000,0;1300000;672,0;4;No;52100000;0,26395158540643904;36;Aliado
SOL-2026-0031;2026-03-09;Buenaventura;Pensionado;Microcredito;2800000,0;850000;664,0;3;No;10900000;0,3662073104562993;24;Digital
SOL-2026-0032;2026-06-11;CALI SUR;Pensionado;Libre inversion;2900000,0;190000;741,0;54;No;19700000;0,2640267089411621;36;Digital
SOL-2026-0033;2026-04-25;Palmira;Microempresario;Libranza;3600000,0;850000;602,0;5;Sí;33200000;0,18806171324242563;24;Oficina
SOL-2026-0034;2025-11-20;Tuluá;Asalariado;Libre inversion;6800000,0;1850000;716,0;32;No;43600000;0,24871546014623858;60;Digital
SOL-2026-0035;2025-09-27;Buga;asalariado;Libre inversion;4150000,0;1270000;;44;No;31100000;0,22033460122869464;24;Aliado
SOL-2026-0036;2026-05-06;Jamundí;Microempresario;Libranza;5450000,0;640000;738,0;2;No;39400000;0,16691897036794293;48;Digital
SOL-2026-0037;2025-04-11;Cali Sur;Asalariado;Libre inversion;2700000,0;710000;653,0;61;Sí;6800000;0,2391489243618544;36;Oficina
SOL-2026-0038;2026-03-19;Buenaventura;Pensionado;Libre inversion;10450000,0;3570000;685,0;57;Sí;37400000;0,24716514697088018;24;Digital
SOL-2026-0039;2025-11-30;Buga;Microempresario;Microcredito;5100000,0;1580000;656,0;25;No;17100000;0,2640384858988744;30;Digital
SOL-2026-0040;2025-08-20;Buga;Asalariado;Libre inversion;2800000,0;250000;616,0;34;No;51900000;0,3034352511872412;18;Aliado
SOL-2026-0041;2025-04-11;Cali Centro;Asalariado;Microcredito;5700000,0;2030000;784,0;36;No;49000000;0,3653390216583836;6;Aliado
SOL-2026-0042;2026-03-19;Jamundí;Microempresario;Libre inversion;3050000,0;510000;575,0;72;No;12900000;0,25565822157475765;30;Oficina
SOL-2026-0043;2025-04-03;Cali Centro;Pensionado;Vehiculo;7650000,0;2700000;710,0;5;No;24900000;0,20909558468528922;48;Oficina
SOL-2026-0044;2025-09-01;Buenaventura;Pensionado;Microcredito;3250000,0;650000;730,0;59;No;10900000;0,33599160734610706;36;Oficina
SOL-2026-0045;2025-10-19;Buenaventura;Independiente;Microcredito;2350000,0;840000;676,0;45;No;50200000;0,30250596433999993;24;Aliado
SOL-2026-0046;2026-05-13;Buga;Asalariado;Libranza;4800000,0;1180000;700,0;42;Sí;33200000;0,21015970917874902;18;Aliado
SOL-2026-0047;2026-02-03;Jamundí;Pensionado;Libre inversion;10000000,0;1060000;754,0;58;No;49900000;0,2234394105306576;36;Oficina
SOL-2026-0048;2025-01-17;Buenaventura;Asalariado;Libre inversion;5350000,0;730000;686,0;60;No;31900000;0,21836745845979946;24;Digital
SOL-2026-0049;2025-12-06;Palmira;Asalariado;Libranza;16100000,0;4820000;692,0;82;No;31800000;0,172218056673412;36;Oficina
SOL-2026-0050;2026-06-14; Cali Sur;Microempresario;Microcredito;5750000,0;2130000;742,0;74;No;42700000;0,3772642841851268;18;Digital
SOL-2026-0051;2025-01-03;Palmira;Microempresario;Libre inversion;2200000,0;230000;730,0;51;No;10000000;0,24999505509152614;48;Digital
SOL-2026-0052;2026-01-22;Cali Sur;asalariado;Libre inversion;;440000;590,0;22;No;52600000;0,26309607200411556;36;Aliado
SOL-2026-0053;2025-06-15;Cali Centro;Asalariado;Libre inversion;8650000,0;690000;654,0;55;No;6800000;0,250354368198112;24;Aliado
SOL-2026-0054;2026-03-21;Cali Sur;Microempresario;Vehiculo;4500000,0;340000;741,0;71;No;41100000;0,1556432424293664;36;Aliado
SOL-2026-0055;2026-02-16;Jamundí;Asalariado;Libre inversion;12550000,0;3300000;752,0;49;Sí;25100000;0,25788847822034444;36;Oficina
SOL-2026-0056;2025-07-28;Cali Centro;Microempresario;Libre inversion;4500000,0;1490000;733,0;7;No;48200000;0,17801903567581126;48;Aliado
SOL-2026-0057;2025-06-25;Jamundí;Microempresario;Libranza;3500000,0;860000;703,0;54;No;28900000;0,2016222856892375;36;Digital
SOL-2026-0058;2026-06-06;Palmira;Independiente;Vehiculo;2550000,0;870000;784,0;47;Sí;10700000;0,21986361488593806;48;Digital
SOL-2026-0059;2026-02-10;Cali Sur;Asalariado;Libre inversion;5800000,0;1560000;698,0;16;No;47900000;0,25429616588901904;24;Digital
SOL-2026-0060;2025-10-30;Buenaventura;Independiente;Vehiculo;3000000,0;570000;722,0;52;No;22600000;0,19451608790632038;72;Aliado
SOL-2026-0061;2026-05-27;Palmira;Pensionado;Libre inversion;5700000,0;2020000;647,0;54;No;50300000;0,24600074780616002;48;Digital
SOL-2026-0062;2025-06-20;Cali Sur;Microempresario;Libranza;6200000,0;540000;651,0;82;No;49400000;0,16257194540068903;36;Oficina
SOL-2026-0063;2025-08-06;Palmira;Pensionado;Microcredito;3600000,0;710000;533,0;22;No;29800000;30,96;18;Oficina
SOL-2026-0064;2026-02-12;Cali Sur;Microempresario;Libre inversion;2000000,0;410000;660,0;18;No;6200000;0,2592328814040169;30;Oficina
SOL-2026-0065;2025-12-01;Buga;Pensionado;Libre inversion;7750000,0;2730000;659,0;80;No;40200000;0,22113824232267942;36;Oficina
SOL-2026-0066;2025-03-27;PALMIRA;Microempresario;Libre inversion;10150000,0;3190000;792,0;43;No;48300000;0,22173716714368735;24;Aliado
SOL-2026-0067;2025-05-26;CALI SUR;Microempresario;Microcredito;2650000,0;520000;784,0;73;No;48600000;0,3112575482697804;30;Digital
SOL-2026-0068;2025-04-16;Palmira;Independiente;Libranza;4650000,0;-623566;696,0;13;No;20300000;0,13852657614916436;12;Aliado
SOL-2026-0069;2025-09-16;Tuluá;Pensionado;Libranza;4200000,0;890000;622,0;10;No;50800000;0,2042144146331113;30;Digital
