id_solicitud;fecha_solicitud;oficina;segmento;producto;ingreso_mensual;obligaciones_actuales;score;antiguedad_meses;tiene_mora;monto_solicitado;tasa_ea;plazo_meses;canal
ACT-2026-0001;2025-06-15;Cali Centro;Asalariado;Libre inversion;8650000,0;690000;654,0;55;No;6800000;0,250354368198112;24;Aliado
ACT-2026-0002;2025-01-30;Cali Centro;Microempresario;Libre inversion;5700000,0;1460000;704,0;74;No;19800000;0,2543866550857586;24;Digital
ACT-2026-0003;2025-08-03;Cali Centro;Pensionado;Libranza;5850000,0;2080000;687,0;2;Sí;14100000;0,15337513480446585;24;Oficina
ACT-2026-0004;2026-02-08;Jamundí;Independiente;Libre inversion;4600000,0;230000;723,0;55;No;9300000;0,26044911576813834;30;Oficina
ACT-2026-0005;2025-02-05;Buga;Independiente;Libre inversion;6250000,0;1560000;;78;Sí;37400000;0,21995477169709607;24;Digital
ACT-2026-0006;2026-04-16;CALI CENTRO;Independiente;Microcredito;4750000,0;240000;683,0;42;No;19200000;0,351518341932794;30;Digital
ACT-2026-0007;2025-05-07; Palmira;Independiente;Vehiculo;4050000,0;950000;810,0;37;No;26100000;0,15988794146150198;60;Aliado
ACT-2026-0008;2025-11-20;Tuluá;Asalariado;Libre inversion;6800000,0;1850000;716,0;32;No;43600000;0,24871546014623858;60;Digital
ACT-2026-0009;2025-06-22;Buga;Asalariado;Libre inversion;8400000,0;2860000;699,0;75;Sí;11200000;23,55261662844862;48;Oficina
ACT-2026-0010;2026-05-13;Buga;Asalariado;Libranza;4800000,0;1180000;700,0;42;Sí;33200000;0,21015970917874902;18;Aliado
ACT-2026-0011;2026-01-03;Buga;Microempresario;Libre inversion;13000000,0;4370000;784,0;60;Sí;48000000;0,2988973614806957;36;Aliado
ACT-2026-0012;2025-05-13;Tuluá;pensionado;Libranza;4600000,0;1680000;774,0;12;No;11400000;0,19454469376208747;48;Oficina
ACT-2026-0013;2025-12-06;Palmira;Asalariado;Libranza;16100000,0;-250000;692,0;82;No;31800000;0,172218056673412;36;Oficina
ACT-2026-0014;2025-03-22; Palmira;Asalariado;Libranza;;1010000;606,0;33;No;8300000;0,20077199858210687;24;Aliado
ACT-2026-0015;2026-05-06;Jamundí;Microempresario;Libranza;5450000,0;640000;738,0;2;No;39400000;0,16691897036794293;48;Digital
ACT-2026-0016;2025-09-19;;Asalariado;Libranza;4100000,0;810000;704,0;53;No;17500000;0,15360896719212888;30;Oficina
ACT-2026-0017;2025-09-11;Cali Sur;Microempresario;Libre inversion;5300000,0;840000;736,0;53;No;20200000;0,2335676964260178;48;Digital
ACT-2026-0018;2026-05-18;Buenaventura;microempresario;Vehiculo;8250000,0;2730000;705,0;58;Sí;5200000;0,17672744635991214;36;Aliado
ACT-2026-0019;2026-06-20;BUENAVENTURA;Microempresario;Libranza;2850000,0;340000;648,0;16;No;17800000;0,21185780646035607;36;Aliado
ACT-2026-0020;2025-07-12;Tuluá;Asalariado;Libranza;6450000,0;890000;624,0;17;No;39200000;0,1756814717897663;24;Aliado
ACT-2026-0021;2025-03-30;Tuluá;Independiente;Libre inversion;4250000,0;1280000;729,0;76;Sí;23300000;0,19592685355422257;36;Oficina
ACT-2026-0022;2025-05-21;Buga;Pensionado;Vehiculo;3900000,0;980000;796,0;31;No;54400000;0,1670399211061134;72;Oficina
ACT-2026-0023;2025-09-14;Buenaventura;Asalariado;Libranza;4550000,0;1560000;;49;No;5800000;0,1760644184499301;24;Oficina
ACT-2026-0024;2026-05-04;Jamundí;Microempresario;Libranza;5750000,0;1750000;608,0;47;Sí;26000000;0,18859741106523115;48;Aliado
ACT-2026-0025;2025-07-17;Palmira;independiente;Libranza;3850000,0;660000;666,0;19;Sí;32900000;0,18553376851172804;24;Digital
ACT-2026-0026;2026-04-26;Tuluá;Independiente;Libranza;4250000,0;830000;665,0;14;No;34200000;0,14897193841905973;36;Aliado
ACT-2026-0027;2025-05-31;Palmira;Asalariado;Microcredito;2850000,0;680000;696,0;76;No;39900000;0,3423139553814996;18;Oficina
ACT-2026-0028;2026-05-04;Cali Sur;Independiente;Microcredito;4250000,0;1500000;627,0;25;No;29400000;0,32235471172902935;12;Aliado
ACT-2026-0029;2025-10-06;Buga;Pensionado;Libre inversion;3350000,0;620000;755,0;27;No;10500000;0,24060823680618074;36;Aliado
ACT-2026-0030;2025-11-08;Buenaventura;Pensionado;Libre inversion;11650000,0;1620000;673,0;80;Sí;11700000;0,25257421577423433;24;Aliado
ACT-2026-0031;2025-03-22;Cali Centro;Asalariado;Libranza;5850000,0;1940000;752,0;29;No;48300000;0,2316967445908939;36;Aliado
ACT-2026-0032;2026-01-02;Tuluá;Pensionado;Libre inversion;5850000,0;1510000;763,0;38;No;51100000;0,2575440173886112;24;Aliado
ACT-2026-0033;2025-04-22;Buga;Microempresario;Libranza;4500000,0;1160000;730,0;48;No;18600000;0,1526847041288953;30;Oficina
ACT-2026-0034;2026-06-06;Palmira;Independiente;Vehiculo;2550000,0;870000;784,0;47;Sí;10700000;0,21986361488593806;48;Digital
ACT-2026-0035;2025-01-25;Cali Sur;Asalariado;Libre inversion;5050000,0;290000;747,0;75;No;51000000;0,22615614165546627;30;Oficina
ACT-2026-0036;2025-01-30;Cali Centro;Asalariado;Libre inversion;10100000,0;1780000;661,0;40;No;23700000;0,21141831129082828;36;Oficina
ACT-2026-0037;2025-04-20;Buenaventura;Pensionado;Libre inversion;5000000,0;1390000;627,0;32;No;32700000;0,2640796134319731;24;Oficina
ACT-2026-0038;2026-05-02;Buga;Microempresario;Vehiculo;3600000,0;730000;696,0;19;Sí;39300000;0,21877116054761295;36;Oficina
ACT-2026-0039;2026-06-23;Cali Sur;Pensionado;Libranza;6550000,0;970000;694,0;78;No;38500000;0,1550768070694404;36;Digital
ACT-2026-0040;2026-05-06;Jamundí;Microempresario;Libranza;5450000,0;640000;738,0;2;No;39400000;0,16691897036794293;48;Digital
ACT-2026-0041;2025-04-08;Buga;Asalariado;Vehiculo;2300000,0;460000;774,0;21;No;54300000;0,20488384454205394;72;Digital
ACT-2026-0042;2026-04-02;Jamundí;Pensionado;Libre inversion;8950000,0;1250000;680,0;67;No;42700000;0,2751771236679175;60;Oficina
ACT-2026-0043;2025-10-21;Palmira;asalariado;Microcredito;7150000,0;2000000;708,0;41;No;27000000;0,3629716405907885;12;Aliado
ACT-2026-0044;2025-11-02;TULUÁ;Pensionado;Libre inversion;3250000,0;340000;642,0;12;Sí;6600000;0,22531192240966;36;Oficina
ACT-2026-0045;2026-05-31;Cali Centro;Independiente;Libranza;4150000,0;400000;655,0;10;No;46900000;0,17275880184583253;30;Aliado
ACT-2026-0046;2025-07-28;Jamundí;Microempresario;Libranza;2250000,0;500000;697,0;54;Sí;36700000;0,1354627756363278;24;Oficina
ACT-2026-0047;2026-04-21;Jamundí;Asalariado;Libranza;10850000,0;-250000;598,0;20;No;N/D;0,14739924675931487;60;Digital
ACT-2026-0048;2025-04-29; Cali Centro;Microempresario;Microcredito;4000000,0;1420000;793,0;58;No;13000000;0,3009967675240024;24;Oficina
ACT-2026-0049;2025-10-27;Cali Centro;Microempresario;Microcredito;3350000,0;190000;765,0;59;No;22900000;0,3511448416557385;6;Digital
ACT-2026-0050;2026-01-11;Palmira;Pensionado;Vehiculo;10050000,0;940000;598,0;31;Sí;45200000;0,21112656595605475;60;Digital
ACT-2026-0051;2025-12-01;Buga;Pensionado;Libre inversion;7750000,0;2730000;659,0;80;No;40200000;0,22113824232267942;36;Oficina
ACT-2026-0052;2025-11-12;Cali Centro;Asalariado;Libranza;2000000,0;170000;701,0;68;No;19800000;0,17238038097573993;24;Aliado
ACT-2026-0053;2025-02-23;Buenaventura;Independiente;Libre inversion;3350000,0;730000;776,0;80;No;51000000;0,2481302805847557;12;Digital
ACT-2026-0054;2025-04-17;Cali Centro;Microempresario;Libranza;4400000,0;330000;672,0;28;No;49400000;0,1886779366037648;12;Digital
ACT-2026-0055;2025-03-24;Buenaventura;Pensionado;Libre inversion;4850000,0;1300000;672,0;4;No;52100000;0,26395158540643904;36;Aliado
ACT-2026-0056;2026-05-19;JAMUNDÍ;Independiente;Libre inversion;5450000,0;900000;795,0;59;Sí;36600000;0,2339650888940209;36;Oficina
ACT-2026-0057;2026-03-27;CALI CENTRO;Pensionado;Libranza;7500000,0;1760000;728,0;25;No;37100000;0,16395126796860723;36;Aliado
ACT-2026-0058;2025-03-30;Buga;Microempresario;Microcredito;6000000,0;-413047;653,0;64;No;17200000;0,2835622643806269;24;Aliado
ACT-2026-0059;2025-01-08;Cali Centro;Asalariado;Libre inversion;8250000,0;1140000;732,0;77;No;15700000;0,2175011602353981;36;Oficina
